   Active: active (running) since Sat 2015-01-24 16:04:49 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-server
systemctl status neutron-server.service | grep since
  
DHCP-network-0, DHCP-subnet-0, DHCP-port-0 created with 1.0.0.0/16
Added 2nd test tap interface tap7a28fac5-31 in namespace of DHCP-network-0
Sat Jan 24 16:06:38 2015: ERROR: Create Port: <class 'neutronclient.common.exceptions.IpAddressInUseClient'> ARGS: ()
python dhcp_entries.py -m de:ae:00:00:00:00@1.0.0.5:6300@DHCP-network-0
Added 6300 test DHCP ports to DHCP-network-0
   Active: active (running) since Sat 2015-01-24 16:06:54 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-dhcp-agent.service...

  
1 processes still running. Waited 0.0447108745575 seconds.
2 processes still running. Waited 5.09066486359 seconds.
2 processes still running. Waited 10.1332929134 seconds.
2 processes still running. Waited 15.1772098541 seconds.
2 processes still running. Waited 20.222083807 seconds.
2 processes still running. Waited 25.2680947781 seconds.
2 processes still running. Waited 30.3122367859 seconds.
2 processes still running. Waited 35.3539469242 seconds.
2 processes still running. Waited 40.3940398693 seconds.
2 processes still running. Waited 45.4352378845 seconds.
2 processes still running. Waited 50.4766008854 seconds.
2 processes still running. Waited 55.5203838348 seconds.
2 processes still running. Waited 60.5642609596 seconds.
2 processes still running. Waited 65.609708786 seconds.
2 processes still running. Waited 70.6530098915 seconds.
2 processes still running. Waited 75.6994919777 seconds.
2 processes still running. Waited 80.7408568859 seconds.
2 processes still running. Waited 85.7873029709 seconds.
2 processes still running. Waited 90.8271729946 seconds.
2 processes still running. Waited 95.8713159561 seconds.
2 processes still running. Waited 100.914075851 seconds.
2 processes still running. Waited 105.957366943 seconds.
2 processes still running. Waited 111.001236916 seconds.
2 processes still running. Waited 116.04467082 seconds.
2 processes still running. Waited 121.086761951 seconds.
2 processes still running. Waited 126.133001804 seconds.
2 processes still running. Waited 131.180865765 seconds.
2 processes still running. Waited 136.233247995 seconds.
2 processes still running. Waited 141.277631998 seconds.
2 processes still running. Waited 146.32268095 seconds.
2 processes still running. Waited 151.366324902 seconds.
2 processes still running. Waited 156.410944939 seconds.
2 processes still running. Waited 161.460310936 seconds.
2 processes still running. Waited 166.506594896 seconds.
2 processes still running. Waited 171.551282883 seconds.
2 processes still running. Waited 176.596019983 seconds.
2 processes still running. Waited 181.638151884 seconds.
2 processes still running. Waited 186.681341887 seconds.
2 processes still running. Waited 191.725310802 seconds.
2 processes still running. Waited 196.768346786 seconds.
2 processes still running. Waited 201.812413931 seconds.
2 processes still running. Waited 206.857943773 seconds.
2 processes still running. Waited 211.901225805 seconds.
2 processes still running. Waited 216.945514917 seconds.
2 processes still running. Waited 221.989504814 seconds.
2 processes still running. Waited 227.034326792 seconds.
2 processes still running. Waited 232.079547882 seconds.
2 processes still running. Waited 237.122835875 seconds.
2 processes still running. Waited 242.165813923 seconds.
2 processes still running. Waited 247.207996845 seconds.
2 processes still running. Waited 252.250943899 seconds.
2 processes still running. Waited 257.294500828 seconds.
2 processes still running. Waited 262.336573839 seconds.
2 processes still running. Waited 267.381173849 seconds.
2 processes still running. Waited 272.427343845 seconds.
2 processes still running. Waited 277.47058177 seconds.
2 processes still running. Waited 282.51370883 seconds.
2 processes still running. Waited 287.555487871 seconds.
2 processes still running. Waited 292.599206924 seconds.
2 processes still running. Waited 297.642175913 seconds.
2 processes still running. Waited 302.686460972 seconds.
2 processes still running. Waited 307.735748768 seconds.
2 processes still running. Waited 312.780064821 seconds.
2 processes still running. Waited 317.824847937 seconds.
2 processes still running. Waited 322.862388849 seconds.
2 processes still running. Waited 327.905578852 seconds.
2 processes still running. Waited 332.94836688 seconds.
2 processes still running. Waited 337.99175477 seconds.
2 processes still running. Waited 343.040021896 seconds.
2 processes still running. Waited 348.084555864 seconds.
2 processes still running. Waited 353.125906944 seconds.
2 processes still running. Waited 358.166978836 seconds.
2 processes still running. Waited 363.212029934 seconds.
2 processes still running. Waited 368.257607937 seconds.
2 processes still running. Waited 373.302139997 seconds.
2 processes still running. Waited 378.348505974 seconds.
2 processes still running. Waited 383.3916049 seconds.
2 processes still running. Waited 388.434265852 seconds.
2 processes still running. Waited 393.4778018 seconds.
2 processes still running. Waited 398.515137911 seconds.
2 processes still running. Waited 403.559224844 seconds.
2 processes still running. Waited 408.603262901 seconds.
2 processes still running. Waited 413.646373987 seconds.
2 processes still running. Waited 418.691890001 seconds.
2 processes still running. Waited 423.736963987 seconds.
2 processes still running. Waited 428.778566837 seconds.
2 processes still running. Waited 433.822691917 seconds.
2 processes still running. Waited 438.866310835 seconds.
2 processes still running. Waited 443.910609961 seconds.
2 processes still running. Waited 448.954764843 seconds.
2 processes still running. Waited 454.000401974 seconds.
2 processes still running. Waited 459.043100834 seconds.
2 processes still running. Waited 464.085686922 seconds.
2 processes still running. Waited 469.128648996 seconds.
2 processes still running. Waited 474.170170784 seconds.
2 processes still running. Waited 479.214295864 seconds.
2 processes still running. Waited 484.257060766 seconds.
2 processes still running. Waited 489.304592848 seconds.
2 processes still running. Waited 494.350695848 seconds.
2 processes still running. Waited 499.393466949 seconds.
2 processes still running. Waited 504.437992811 seconds.
2 processes still running. Waited 509.480923891 seconds.
2 processes still running. Waited 514.524659872 seconds.
2 processes still running. Waited 519.56830883 seconds.
2 processes still running. Waited 524.612746954 seconds.
2 processes still running. Waited 529.656488895 seconds.
2 processes still running. Waited 534.700267792 seconds.
2 processes still running. Waited 539.743779898 seconds.
2 processes still running. Waited 544.788042784 seconds.
2 processes still running. Waited 549.833063841 seconds.
2 processes still running. Waited 554.877702951 seconds.
2 processes still running. Waited 559.924078941 seconds.
2 processes still running. Waited 564.966486931 seconds.
2 processes still running. Waited 570.012007952 seconds.
2 processes still running. Waited 575.056998968 seconds.
2 processes still running. Waited 580.100083828 seconds.
2 processes still running. Waited 585.14278388 seconds.
2 processes still running. Waited 590.19106698 seconds.
2 processes still running. Waited 595.234969854 seconds.
2 processes still running. Waited 600.278603792 seconds.
2 processes still running. Waited 605.319567919 seconds.
2 processes still running. Waited 610.364318848 seconds.
2 processes still running. Waited 615.404667854 seconds.
2 processes still running. Waited 620.448358774 seconds.
2 processes still running. Waited 625.492659807 seconds.
2 processes still running. Waited 630.534229994 seconds.
2 processes still running. Waited 635.577439785 seconds.
2 processes still running. Waited 640.622387886 seconds.
2 processes still running. Waited 645.662904978 seconds.
2 processes still running. Waited 650.705309868 seconds.
2 processes still running. Waited 655.744262934 seconds.
2 processes still running. Waited 660.790904999 seconds.
2 processes still running. Waited 665.834160805 seconds.
2 processes still running. Waited 670.876508951 seconds.
2 processes still running. Waited 675.920012951 seconds.
2 processes still running. Waited 680.961469889 seconds.
2 processes still running. Waited 686.0061059 seconds.
2 processes still running. Waited 691.049991846 seconds.
2 processes still running. Waited 696.092978001 seconds.
2 processes still running. Waited 701.137635946 seconds.
2 processes still running. Waited 706.183117867 seconds.
2 processes still running. Waited 711.225818872 seconds.
2 processes still running. Waited 716.27420783 seconds.
2 processes still running. Waited 721.320668936 seconds.
2 processes still running. Waited 726.363242865 seconds.
2 processes still running. Waited 731.407075882 seconds.
2 processes still running. Waited 736.450574875 seconds.
2 processes still running. Waited 741.492524862 seconds.
2 processes still running. Waited 746.535846949 seconds.
2 processes still running. Waited 751.579121828 seconds.
2 processes still running. Waited 756.623020887 seconds.
2 processes still running. Waited 761.672102928 seconds.
2 processes still running. Waited 766.716018915 seconds.
2 processes still running. Waited 771.757559776 seconds.
2 processes still running. Waited 776.800382853 seconds.
2 processes still running. Waited 781.845411777 seconds.
2 processes still running. Waited 786.886321783 seconds.
2 processes still running. Waited 791.93133378 seconds.
2 processes still running. Waited 796.975631952 seconds.
2 processes still running. Waited 802.020613909 seconds.
2 processes still running. Waited 807.061028957 seconds.
2 processes still running. Waited 812.103783846 seconds.
2 processes still running. Waited 817.145114899 seconds.
2 processes still running. Waited 822.189297915 seconds.
2 processes still running. Waited 827.232617855 seconds.
2 processes still running. Waited 832.277676821 seconds.
2 processes still running. Waited 837.321922779 seconds.
2 processes still running. Waited 842.363069773 seconds.
2 processes still running. Waited 847.41011095 seconds.
2 processes still running. Waited 852.455026865 seconds.
2 processes still running. Waited 857.499628782 seconds.
2 processes still running. Waited 862.543780804 seconds.
2 processes still running. Waited 867.589019775 seconds.
2 processes still running. Waited 872.634955883 seconds.
2 processes still running. Waited 877.676226854 seconds.
2 processes still running. Waited 882.71764183 seconds.
2 processes still running. Waited 887.759263992 seconds.
2 processes still running. Waited 892.804979801 seconds.
2 processes still running. Waited 897.850880861 seconds.
2 processes still running. Waited 902.891244888 seconds.
2 processes still running. Waited 907.943879843 seconds.
2 processes still running. Waited 912.989509821 seconds.
2 processes still running. Waited 918.032285929 seconds.
2 processes still running. Waited 923.075603962 seconds.
2 processes still running. Waited 928.119446993 seconds.
2 processes still running. Waited 933.168437958 seconds.
2 processes still running. Waited 938.213513851 seconds.
2 processes still running. Waited 943.256147861 seconds.
2 processes still running. Waited 948.299188852 seconds.
2 processes still running. Waited 953.339698792 seconds.
2 processes still running. Waited 958.383242846 seconds.
2 processes still running. Waited 963.427616835 seconds.
2 processes still running. Waited 968.473598957 seconds.
2 processes still running. Waited 973.517601967 seconds.
2 processes still running. Waited 978.558787823 seconds.
2 processes still running. Waited 983.601723909 seconds.
2 processes still running. Waited 988.646025896 seconds.
2 processes still running. Waited 993.689868927 seconds.
2 processes still running. Waited 998.732739925 seconds.
2 processes still running. Waited 1003.77948785 seconds.
2 processes still running. Waited 1008.82576895 seconds.
2 processes still running. Waited 1013.86862493 seconds.
2 processes still running. Waited 1018.906003 seconds.
2 processes still running. Waited 1023.94893193 seconds.
2 processes still running. Waited 1028.99022794 seconds.
2 processes still running. Waited 1034.03496695 seconds.
2 processes still running. Waited 1039.07901978 seconds.
2 processes still running. Waited 1044.12505078 seconds.
2 processes still running. Waited 1049.16642189 seconds.
2 processes still running. Waited 1054.21031594 seconds.
2 processes still running. Waited 1059.25296879 seconds.
2 processes still running. Waited 1064.29686999 seconds.
2 processes still running. Waited 1069.34283185 seconds.
2 processes still running. Waited 1074.39076495 seconds.
2 processes still running. Waited 1079.4327178 seconds.
2 processes still running. Waited 1084.47236586 seconds.
2 processes still running. Waited 1089.51382589 seconds.
2 processes still running. Waited 1094.55896783 seconds.
2 processes still running. Waited 1099.60352683 seconds.
2 processes still running. Waited 1104.64474392 seconds.
2 processes still running. Waited 1109.68858099 seconds.
2 processes still running. Waited 1114.73347378 seconds.
2 processes still running. Waited 1119.77582383 seconds.
2 processes still running. Waited 1124.81738877 seconds.
2 processes still running. Waited 1129.86035895 seconds.
2 processes still running. Waited 1134.90412378 seconds.
2 processes still running. Waited 1139.95022178 seconds.
2 processes still running. Waited 1144.99373984 seconds.
2 processes still running. Waited 1150.03613591 seconds.
2 processes still running. Waited 1155.07677197 seconds.
2 processes still running. Waited 1160.12252498 seconds.
2 processes still running. Waited 1165.16803598 seconds.
2 processes still running. Waited 1170.21328878 seconds.
2 processes still running. Waited 1175.25712895 seconds.
2 processes still running. Waited 1180.30202794 seconds.
2 processes still running. Waited 1185.34603381 seconds.
2 processes still running. Waited 1190.38922882 seconds.
2 processes still running. Waited 1195.43163896 seconds.
 
ERROR : All the processes did not end. 2 processes still running. Waited 20 minutes. Exiting...

 Run 'ps aux | grep dhcp.py | grep -v grep'

 Run 'sudo pkill -f ./dhcp.py' to kill all processes


 Sleeping 10 seconds........


 Sleeping 10 seconds........


 Sleeping 10 seconds........


 DHCP network already exists.
 # of DHCP networks = 1
 # of DHCP ports per network = 1899
 Run './dhcp_scale_wrapper.py <number_of_DHCP_ports> -delete'
 Exiting...

   Active: active (running) since Tue 2015-01-27 08:29:48 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-server
systemctl status neutron-server.service | grep since
  
DHCP-network-0, DHCP-subnet-0, DHCP-port-0 created with 1.0.0.0/16
Added 2nd test tap interface tap5fc49f8f-1d in namespace of DHCP-network-0
python dhcp_entries.py -m de:ae:00:00:00:00@1.0.0.5:6300@DHCP-network-0
Added 6300 test DHCP ports to DHCP-network-0
   Active: active (running) since Tue 2015-01-27 08:42:54 EST; 1min 0s ago

